Country/Territory,GDP(US$million),Rank
,,
World[25],80501413,
,,
United States,19485394,1
,,
China[n 5],12234781,2
,,
Japan,4872415,3
,,
Germany,3693204,4
,,
United Kingdom,2631228,5
,,
France,2582492,6
,,
India,2575666,7
,,
Brazil,2055512,8
,,
Italy,1943835,9
,,
Canada,1647120,10
,,
"Korea, South",1577524,11
,,
Russia[n 3],1530750,12
,,
Australia,1408675,13
,,
Spain,1314314,14
,,
Mexico,1158229,15
,,
Indonesia,1015539,16
,,
Turkey,851541,17
,,
Netherlands,830572,18
,,
Saudi Arabia,683827,19
,,
Switzerland,678938,20
,,
Argentina,637486,21
,,
Taiwan,579865,—
,,
Sweden,535607,22
,,
Poland,526211,23
,,
Belgium,494763,24
,,
Iran,460976,25
,,
Thailand,455302,26
,,
Austria,416835,27
,,
Norway,399470,28
,,
United Arab Emirates,382575,29
,,
Nigeria,375769,30
,,
Israel,353268,31
,,
South Africa,348872,32
,,
Hong Kong,341659,—
,,
Ireland,331430,33
,,
Denmark,329865,34
,,
Singapore,323901,35
,,
Malaysia,314707,36
,,
Philippines,313595,37
,,
Colombia,309191,38
,,
Pakistan,302139,39
,,
Chile,277080,40
,,
Venezuela,255092,41
,,
Bangladesh,254646,42
,,
Finland,252246,43
,,
Vietnam,223779,44
,,
Czech Republic,215824,45
,,
Romania,211803,46
,,
Peru,211402,47
,,
Greece,203085,48
,,
New Zealand,202044,49
,,
Egypt,195135,50
,,
Portugal,195041,51
,,
Iraq,182023,52
,,
Qatar,167605,53
,,
Algeria,167555,54
,,
Kazakhstan,159406,55
,,
Hungary,139761,56
,,
Angola,126505,57
,,
Sudan,120265,58
,,
Kuwait,119534,59
,,
Ukraine,112154,60
,,
Morocco,109708,61
,,
Ecuador,104295,62
,,
Puerto Rico,104218,—
,,
Cuba,96851,63
,,
Slovakia,95617,64
,,
Sri Lanka,87356,65
,,
Dominican Republic,75931,66
,,
Guatemala,75619,67
,,
Ethiopia,75605,68
,,
Kenya,74938,69
,,
Oman,70783,70
,,
Myanmar,67101,71
,,
Luxembourg,62316,72
,,
Panama,61838,73
,,
Uruguay,59180,74
,,
Ghana,58996,75
,,
Bulgaria,58222,76
,,
Costa Rica,57564,77
,,
Croatia,55201,78
,,
Belarus,54441,79
,,
Lebanon,53393,80
,,
