Week	RON 95	RON 97	DIESEL
Feb 1-7, 2020	2.08	2.41	2.18
Jan 25-31, 2020	2.08	2.49	2.18
Jan 18-24, 2020	2.08	2.53	2.18
Jan 11-17, 2020	2.08	2.62	2.18
Jan 4-10, 2020	2.08	2.65	2.18
Dec 28, 2019-Jan 3, 2020	2.08	2.63	2.18
Dec 21-27, 2019	2.08	2.58	2.18
Dec 14-20, 2019	2.08	2.64	2.18
Dec 7-13, 2019	2.08	2.64	2.18
Nov 30-Dec 6, 2019	2.08	2.66	2.18
Nov 23-29, 2019	2.08	2.66	2.18
Nov 16-22, 2019	2.08	2.7	2.18
Nov 9-15, 2019	2.08	2.57	2.18
Nov 2-8, 2019	2.08	2.56	2.18
Oct 26-Nov 1, 2019	2.08	2.59	2.18
Oct 19-25, 2019	2.08	2.68	2.18
Oct 12-18, 2019	2.08	2.67	2.18
Oct 5-11, 2019	2.08	2.6	2.18
Sep 28-Oct 4, 2019	2.08	2.79	2.18
Sep 21-27, 2019	2.08	2.67	2.18
Sep 14-20, 2019	2.08	2.53	2.18
Sep 7-13, 2019	2.08	2.5	2.18
Aug 31-Sep 6, 2019	2.08	2.5	2.18
Aug 24-30, 2019	2.08	2.51	2.18
Aug 17-23, 2019	2.08	2.49	2.18
Aug 10-16, 2019	2.08	2.49	2.18
Aug 3-9, 2019	2.08	2.54	2.18
Jul 27-Aug 2, 2019	2.08	2.56	2.18
Jul 20-26, 2019	2.08	2.67	2.18
Jul 13-19, 2019	2.08	2.57	2.18
Jul 6-12, 2019	2.08	2.53	2.18
Jun 29-Jul 5, 2019	2.08	2.49	2.18
Jun 22-28, 2019	2.08	2.38	2.18
Jun 15-21, 2019	2.08	2.41	2.18
Jun 1-14, 2019	2.08	2.63	2.18
May 25-31, 2019	2.08	2.76	2.18
May 18-24, 2019	2.08	2.68	2.18
May 11-17, 2019	2.08	2.7	2.18
May 4-10, 2019	2.08	2.8	2.18
Apr 27-May 3, 2019	2.08	2.81	2.18
Apr 20-26, 2019	2.08	2.8	2.18
Apr 13-19, 2019	2.08	2.68	2.18
Apr 6-12, 2019	2.08	2.63	2.18
Mar 30-Apr 5, 2019	2.08	2.63	2.18
Mar 23-29, 2019	2.08	2.61	2.18
Mar 16-22, 2019	2.08	2.54	2.18
Mar 9-15, 2019	2.08	2.46	2.18
Mar 2-8, 2019	2.08	2.43	2.18
Feb 23-Mar 1, 2019	2.08	2.38	2.18
Feb 16-22, 2019	1.98	2.28	2.18
Feb 9-15, 2019	1.97	2.27	2.18
Feb 2-8, 2019	1.93	2.23	2.18
Jan 26-Feb 1, 2019	1.98	2.28	2.18
Jan 19-25, 2019	1.98	2.28	2.17
Jan 12-18, 2019	1.92	2.22	2.05
Jan 5-11, 2019	1.93	2.23	2.04
Jan 1-4, 2019	2.2	2.5	2.18
Dec 1-31, 2018	2.2	2.5	2.18
